EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-20 09:01:47, purchase_requisition={}, production_order={990001}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 09:01:47, purchase_requisition={300000}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 09:01:47, purchase_requisition={300001}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-20 10:23:21, purchase_requisition={}, production_order={990002}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 10:23:21, purchase_requisition={300002}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 10:23:21, purchase_requisition={300003}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-20 12:06:29, purchase_requisition={}, production_order={990003}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 12:06:29, purchase_requisition={300004}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 12:06:29, purchase_requisition={300005}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-20 13:32:45, purchase_requisition={}, production_order={990004}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 13:32:45, purchase_requisition={300006}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 13:32:45, purchase_requisition={300007}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-20 15:25:18, purchase_requisition={}, production_order={990005}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 15:25:18, purchase_requisition={300008}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 15:25:18, purchase_requisition={300009}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2664, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-20 15:34:18, purchase_requisition={300004}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_5290, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-20 16:31:14, purchase_requisition={300005}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-20 17:10:23, purchase_requisition={}, production_order={990006}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 17:10:23, purchase_requisition={300010}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 17:10:23, purchase_requisition={300011}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_2664, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-20 18:10:45, purchase_requisition={300004}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-20 18:40:33, purchase_requisition={}, production_order={990007}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 18:40:33, purchase_requisition={300012}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 18:40:33, purchase_requisition={300013}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-27, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-20 21:41:13, purchase_requisition={}, production_order={990008}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 21:41:13, purchase_requisition={300014}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-20 21:41:13, purchase_requisition={300015}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 06:25:10, purchase_requisition={}, production_order={990009}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 06:25:10, purchase_requisition={300016}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 06:25:10, purchase_requisition={300017}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_5841, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 08:37:14, purchase_requisition={300003}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_4653, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 08:53:47, purchase_requisition={300012}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_4766, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 08:56:20, purchase_requisition={300017}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_6687, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 09:42:46, purchase_requisition={300001}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_5841, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-21 09:55:33, purchase_requisition={300003}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 10:05:29, purchase_requisition={}, production_order={990010}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 10:05:29, purchase_requisition={300018}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 10:05:29, purchase_requisition={300019}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_675, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 10:22:36, purchase_requisition={300011}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9516, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 10:34:37, purchase_requisition={300014}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_3131, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 11:09:46, purchase_requisition={300015}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 11:30:45, purchase_requisition={}, production_order={990011}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 11:30:45, purchase_requisition={300020}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 11:30:45, purchase_requisition={300021}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 13:21:17, purchase_requisition={}, production_order={990012}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 13:21:17, purchase_requisition={300022}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 13:21:17, purchase_requisition={300023}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_2664, CREAT_DATE=2019-05-21, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70000}, amount_material=0, time=2019-05-21 13:35:15, purchase_requisition={300004}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_9395, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 14:23:38, purchase_requisition={300010}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2607, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 14:27:35, purchase_requisition={300006}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-21 15:02:21, purchase_requisition={}, production_order={990013}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1015}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 15:02:21, purchase_requisition={300024}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={DPC1018}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 15:02:21, purchase_requisition={300025}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_3701, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 15:12:01, purchase_requisition={300023}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_8380, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 15:12:10, purchase_requisition={300009}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2742, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 16:17:54, purchase_requisition={300022}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 16:24:30, purchase_requisition={}, production_order={990014}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 16:24:30, purchase_requisition={300026}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 16:24:30, purchase_requisition={300027}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_8380, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-21 16:29:15, purchase_requisition={300009}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_6687, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-21 16:54:31, purchase_requisition={300001}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_2669, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 16:56:04, purchase_requisition={300008}, production_order={}})
EXECUTING release purchase requisition (2) with SAP params: {NUMBER=SAMPLE_RURREQ_3131, REL_CODE=02}	 | 	(LOG: {required_material={}, activity=release purchase requisition (2), material={}, purchase_order={}, amount_material=0, time=2019-05-21 17:35:04, purchase_requisition={300015}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_8380, CREAT_DATE=2019-05-21, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70001}, amount_material=0, time=2019-05-21 17:55:39, purchase_requisition={300009}, production_order={}})
EXECUTING convert to purchase order with SAP params: {PREQ_NO=SAMPLE_RURREQ_5841, CREAT_DATE=2019-05-21, PURCH_ORG=1000, PUR_GROUP=001, COMP_CODE=1000}	 | 	(LOG: {required_material={req2}, activity=convert to purchase order, material={}, purchase_order={70002}, amount_material=0, time=2019-05-21 18:06:46, purchase_requisition={300003}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 18:08:47, purchase_requisition={}, production_order={990015}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 18:08:47, purchase_requisition={300028}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 18:08:47, purchase_requisition={300029}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1369, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 20:03:37, purchase_requisition={300007}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 20:05:55, purchase_requisition={}, production_order={990016}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 20:05:55, purchase_requisition={300030}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 20:05:55, purchase_requisition={300031}, production_order={}})
EXECUTING release purchase requisition (1) with SAP params: {NUMBER=SAMPLE_RURREQ_1417, REL_CODE=04}	 | 	(LOG: {required_material={}, activity=release purchase requisition (1), material={}, purchase_order={}, amount_material=0, time=2019-05-21 20:46:49, purchase_requisition={300020}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-28, ORDER_TYPE=PP01, MATERIAL=other_id}	 | 	(LOG: {required_material={req1,req2}, activity=create production order, material={other_id}, purchase_order={}, amount_material=400, time=2019-05-21 22:51:25, purchase_requisition={}, production_order={990017}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req2}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 22:51:25, purchase_requisition={300032}, production_order={}})
EXECUTING create purchase requisition with SAP params: {QUANTITY=0, MATERIAL=DPC1015}	 | 	(LOG: {required_material={req1}, activity=create purchase requisition, material={}, purchase_order={}, amount_material=0, time=2019-05-21 22:51:25, purchase_requisition={300033}, production_order={}})
EXECUTING create production order with SAP params: {PLANT=1000, QUANTITY=400, PLANNING_PLANT=1000, BASIC_END_DATE=2019-05-29, ORDER_TYPE=PP01, MATERIAL=000000000050066346}	 | 	(LOG: {required_material={DPC1015,DPC1018}, activity=create production order, material={000000000050066346}, purchase_order={}, amount_material=400, time=2019-05-22 09:34:24, purchase_requisition={}, production_order={990018}})
